epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3596.89,3.53419,3.63877,0.00779,0.02899,0.04321,0.02002,0.00681,3.45658,3.47236,0.00783,0.00199749,0.00066583,0.00199749,0.00066583,0.00199749,0.00066583,0.00199749,0.00066583
2,6018.63,3.16615,2.82911,0.00573,0.13946,0.20783,0.13765,0.04149,3.25852,2.55945,0.00717,0.00396451,0.0013215,0.00396451,0.0013215,0.00396451,0.0013215,0.00396451,0.0013215
3,7628.22,3.01935,2.24141,0.00521,0.16333,0.24341,0.16889,0.05135,3.18865,2.24207,0.00711,0.00589853,0.00196618,0.00589853,0.00196618,0.00589853,0.00196618,0.00589853,0.00196618
4,9602.86,2.90379,2.02007,0.0047,0.34884,0.25728,0.19854,0.06037,3.07619,1.7938,0.00651,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
5,10895.7,2.78397,2.00839,0.00453,0.43785,0.28236,0.25466,0.0799,2.95005,1.94628,0.00613,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
6,12143.3,2.76721,1.80399,0.0044,0.45893,0.31331,0.285,0.09078,2.90205,1.73169,0.0059,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175
7,13863.9,2.67093,1.62704,0.00414,0.47761,0.32717,0.30555,0.10244,2.82921,1.63188,0.0057,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
8,16564.3,2.63514,1.69513,0.00416,0.47558,0.32059,0.30312,0.10316,2.83285,1.63127,0.0059,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845
9,18075.6,2.57845,1.58283,0.00403,0.49296,0.33711,0.32613,0.11229,2.73498,1.5389,0.00551,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
10,19676.1,2.52565,1.51013,0.00397,0.50746,0.34589,0.34198,0.12147,2.74212,1.61654,0.00569,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
11,21355.3,2.51188,1.37276,0.00382,0.52305,0.35588,0.34889,0.12424,2.72601,1.53835,0.00546,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835
