epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.232,4.21704,5.26177,0.01583,0.54651,0.00543,0.277,0.12833,4.31917,2.26272,0.01262,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,216.528,3.62211,2.25685,0.00986,0.82902,0.01848,0.4238,0.22248,3.43818,1.47075,0.00691,0.0039355,0.00131183,0.0039355,0.00131183,0.0039355,0.00131183,0.0039355,0.00131183
3,310.616,3.24724,1.51928,0.00569,0.8453,0.03535,0.43929,0.19969,3.27725,1.36875,0.00599,0.00588625,0.00196208,0.00588625,0.00196208,0.00588625,0.00196208,0.00588625,0.00196208
4,404.751,3.10146,1.32768,0.00454,0.90323,0.02911,0.46572,0.21991,3.21426,1.32373,0.00568,0.00588862,0.00196287,0.00588862,0.00196287,0.00588862,0.00196287,0.00588862,0.00196287
5,498.839,2.91277,1.22412,0.00411,0.91355,0.04517,0.47897,0.22941,3.22177,1.27965,0.00555,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
6,593.47,2.86583,1.18019,0.00395,0.94776,0.02934,0.48857,0.25338,3.21908,1.27236,0.00553,0.00581438,0.00193813,0.00581438,0.00193813,0.00581438,0.00193813,0.00581438,0.00193813
7,688.242,2.82362,1.14969,0.00379,0.96813,0.02807,0.49806,0.2605,3.12845,1.24819,0.00537,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575
8,782.938,2.69202,1.11698,0.00365,0.972,0.02807,0.49993,0.28324,2.985,1.21788,0.00511,0.00574013,0.00191338,0.00574013,0.00191338,0.00574013,0.00191338,0.00574013,0.00191338
9,877.155,2.68973,1.10602,0.0036,0.95987,0.03316,0.49656,0.27982,2.88079,1.21676,0.00491,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
10,970.349,2.58028,1.09334,0.00344,0.96296,0.03304,0.49808,0.29361,2.85672,1.19338,0.0048,0.00566587,0.00188863,0.00566587,0.00188863,0.00566587,0.00188863,0.00566587,0.00188863
11,1064.18,2.57693,1.07514,0.00337,0.9604,0.04482,0.5025,0.29542,2.75591,1.17853,0.00465,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625
12,1157.7,2.53679,1.0617,0.0033,0.95547,0.0595,0.50722,0.27791,2.81426,1.17255,0.0047,0.00559163,0.00186388,0.00559163,0.00186388,0.00559163,0.00186388,0.00559163,0.00186388
13,1251.95,2.4828,1.03575,0.00323,0.94881,0.05996,0.50423,0.29388,2.73286,1.15156,0.00457,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
14,1346.85,2.50308,1.03323,0.00325,0.9541,0.06724,0.51064,0.28306,2.79799,1.16101,0.00463,0.00551737,0.00183912,0.00551737,0.00183912,0.00551737,0.00183912,0.00551737,0.00183912
15,1441.31,2.48139,1.01448,0.00312,0.95,0.06805,0.50899,0.29127,2.69789,1.1403,0.00449,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675
