epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.755,1.95674,1.4488,0.00274,0.65597,0.4829,0.53174,0.26804,2.13413,5.33091,0.00345,0.000653333,0.000653333,0.000653333
2,212.802,1.7685,0.768,0.00211,0.85832,0.5424,0.71606,0.41549,1.95108,0.95584,0.00321,0.00131739,0.00131739,0.00131739
3,310.004,1.77895,0.73196,0.00212,0.87053,0.53212,0.71302,0.42223,1.8911,0.96361,0.00304,0.0019788,0.0019788,0.0019788
4,406.371,1.7455,0.70172,0.00204,0.96226,0.26802,0.61528,0.39646,nan,nan,nan,0.00198812,0.00198812,0.00198812
5,502.481,1.76109,0.68766,0.00211,0.95981,0.30349,0.63325,0.42849,1.9261,0.78012,0.00304,0.00198416,0.00198416,0.00198416
6,599.276,1.69907,0.67616,0.002,0.89862,0.46592,0.69211,0.43227,1.90608,0.89001,0.00293,0.0019802,0.0019802,0.0019802
7,696.538,1.70789,0.65274,0.00197,0.89431,0.51906,0.71497,0.45271,1.84559,0.7421,0.00293,0.00197624,0.00197624,0.00197624
8,793.936,1.64508,0.62344,0.00194,0.90362,0.5015,0.70918,0.46692,1.8063,0.7262,0.0028,0.00197228,0.00197228,0.00197228
9,890.914,1.63123,0.62955,0.00188,0.91569,0.53327,0.7329,0.48659,1.70799,0.67733,0.00269,0.00196832,0.00196832,0.00196832
10,986.602,1.52782,0.60179,0.00178,0.90368,0.54517,0.73641,0.47221,1.79104,0.74421,0.00278,0.00196436,0.00196436,0.00196436
11,1083.1,1.56551,0.59887,0.0018,0.89456,0.51848,0.71382,0.46834,1.7544,0.71159,0.00273,0.0019604,0.0019604,0.0019604
12,1179.88,1.56658,0.58617,0.00181,0.93878,0.48718,0.71893,0.48718,1.71997,0.66255,0.0027,0.00195644,0.00195644,0.00195644
13,1276.94,1.50938,0.54403,0.00173,0.92453,0.51513,0.72693,0.50044,1.69909,0.66221,0.00262,0.00195248,0.00195248,0.00195248
14,1374.3,1.58617,0.56674,0.00183,0.92935,0.51363,0.72633,0.50752,1.63727,0.64048,0.00252,0.00194852,0.00194852,0.00194852
15,1471.57,1.53541,0.53757,0.00172,0.9465,0.48232,0.72005,0.50069,1.67844,0.64997,0.00259,0.00194456,0.00194456,0.00194456
16,1568.4,1.52991,0.54767,0.00174,0.95964,0.45598,0.71214,0.48297,1.74133,0.6766,0.00278,0.0019406,0.0019406,0.0019406
17,1664.31,1.51901,0.55696,0.00174,0.94113,0.50231,0.72872,0.49708,1.70509,0.64715,0.00261,0.00193664,0.00193664,0.00193664
18,1760.62,1.50842,0.54251,0.00171,0.92735,0.53974,0.74307,0.50561,1.65497,0.6101,0.00254,0.00193268,0.00193268,0.00193268
19,1856.97,1.48395,0.5251,0.00168,0.94596,0.50762,0.7317,0.51596,1.64635,0.63703,0.00258,0.00192872,0.00192872,0.00192872
20,1953.48,1.4577,0.52279,0.00169,0.95336,0.40619,0.68204,0.48454,1.6683,0.66973,0.0026,0.00192476,0.00192476,0.00192476
21,2048.51,1.4487,0.51672,0.00166,0.92706,0.54332,0.74266,0.52094,1.6124,0.61545,0.00247,0.0019208,0.0019208,0.0019208
22,2144.77,1.47403,0.51795,0.00165,0.92443,0.5469,0.74444,0.52477,1.59507,0.6001,0.00246,0.00191684,0.00191684,0.00191684
23,2241.3,1.48496,0.52097,0.00164,0.92242,0.52611,0.73217,0.48839,1.7389,0.67956,0.00268,0.00191288,0.00191288,0.00191288
24,2337.98,1.45732,0.53156,0.00164,0.92467,0.55303,0.74986,0.53017,1.59487,0.63867,0.00247,0.00190892,0.00190892,0.00190892
25,2434.01,1.51607,0.52696,0.0017,0.94101,0.49018,0.72009,0.5009,1.67212,0.63613,0.00257,0.00190496,0.00190496,0.00190496
26,2530.78,1.49386,0.5171,0.00169,0.9148,0.55199,0.74297,0.51166,1.60803,0.60897,0.00251,0.001901,0.001901,0.001901
27,2627.57,1.45418,0.51069,0.00166,0.94636,0.4851,0.7205,0.48514,1.75787,0.67036,0.00271,0.00189704,0.00189704,0.00189704
28,2724.34,1.4693,0.50716,0.00165,0.94084,0.51999,0.73759,0.50923,1.64206,0.59419,0.00253,0.00189308,0.00189308,0.00189308
29,2820.91,1.43844,0.50205,0.00161,0.93261,0.5164,0.73398,0.50617,1.66845,0.65147,0.00254,0.00188912,0.00188912,0.00188912
30,2917.33,1.41059,0.50528,0.00158,0.91726,0.55199,0.74581,0.5241,1.59218,0.62096,0.00243,0.00188516,0.00188516,0.00188516
31,3014.21,1.45155,0.51195,0.00158,0.95718,0.4933,0.72994,0.52267,1.59031,0.60071,0.00245,0.0018812,0.0018812,0.0018812
32,3110.38,1.41732,0.48981,0.00157,0.94461,0.50439,0.73054,0.5281,1.57335,0.59026,0.00242,0.00187724,0.00187724,0.00187724
33,3206.54,1.4203,0.49531,0.00159,0.9404,0.51583,0.73526,0.52911,1.57392,0.60319,0.00245,0.00187328,0.00187328,0.00187328
34,3303.3,1.43002,0.48735,0.00162,0.93988,0.52738,0.73994,0.52192,1.61507,0.58212,0.00248,0.00186932,0.00186932,0.00186932
35,3399.45,1.3957,0.48156,0.00158,0.94297,0.51005,0.73363,0.52842,1.57389,0.59348,0.00243,0.00186536,0.00186536,0.00186536
36,3495.54,1.39605,0.47503,0.00155,0.93311,0.55118,0.75141,0.53646,1.56592,0.5817,0.00243,0.0018614,0.0018614,0.0018614
37,3591.29,1.40847,0.48669,0.00161,0.94332,0.5134,0.73553,0.52437,1.58065,0.60444,0.00245,0.00185744,0.00185744,0.00185744
38,3687.45,1.3711,0.47482,0.00154,0.91818,0.5536,0.74822,0.52335,1.58505,0.61643,0.00246,0.00185348,0.00185348,0.00185348
39,3783.57,1.39282,0.47482,0.00156,0.92309,0.5588,0.75001,0.5172,1.63847,0.60701,0.00253,0.00184952,0.00184952,0.00184952
40,3878.35,1.3639,0.47038,0.00156,0.95197,0.5015,0.73272,0.52572,1.57875,0.61877,0.00246,0.00184556,0.00184556,0.00184556
41,3974.3,1.40408,0.4884,0.00155,0.94508,0.503,0.73055,0.5279,1.56655,0.59738,0.00239,0.0018416,0.0018416,0.0018416
42,4070.26,1.38103,0.47386,0.00156,0.9294,0.54898,0.74929,0.52782,1.59521,0.60493,0.00245,0.00183764,0.00183764,0.00183764
43,4165.46,1.39944,0.47702,0.00155,0.94404,0.52033,0.73989,0.51436,1.67144,0.60661,0.00254,0.00183368,0.00183368,0.00183368
44,4261.59,1.39883,0.47724,0.00155,0.93141,0.54124,0.74537,0.53073,1.57792,0.62372,0.00242,0.00182972,0.00182972,0.00182972
